"V1"	"pca.x...1."	"pca.x...2."
"1"	"René Stulz"	-0.265757604148418	1.55038397479909
"2"	"Lawrence Katz"	-0.341876109666265	-2.54371067126764
"3"	"John List"	-5.36778781257434	-4.76598309262539
"4"	"Clive Granger"	3.63219087860603	-0.579559732966476
"5"	"Robert King"	2.71833779903105	0.693567443052603
"6"	"Robert Hall"	0.621299285820862	0.187346910109607
"7"	"David Card"	-1.83149850337367	-4.33590871784156
"8"	"Raghuram Rajan"	-2.97425851762219	2.65699109414372
"9"	"Guillermo Calvo"	0.12101621705957	3.58519971902479
"10"	"Andrei Shleifer"	-5.58098598665274	-2.07104943076118
"11"	"Donald Andrews"	5.44115429120295	-1.33673397729224
"12"	"Jeremy Stein"	-0.283265906988952	1.79642549212224
"13"	"Paul Milgrom"	0.562411668857026	-1.39487912069312
"14"	"Jeffrey Frankel"	-1.26293728419935	3.92053351879841
"15"	"Gary Becker"	0.960744834951165	-0.702065012570441
"16"	"Florencio Lopez-de-Silanes"	-0.150499719521295	-0.943411585204599
"17"	"Barry Eichengreen"	-5.81293439002811	6.45208895321401
"18"	"Jacques Thisse"	-2.39535337609003	-2.10786173579205
"19"	"Martin Ravallion"	-2.07100579974585	-0.980883634967365
"20"	"Robert Vishny"	-0.321435428813004	-0.876629124563193
"21"	"Andrew Rose"	-0.284671766121264	2.47785768592479
"22"	"Richard Freeman"	-3.56907983270399	-3.38284080560968
"23"	"Joshua Angrist"	-0.499631199229226	-4.46359226786748
"24"	"Robert Engle"	3.90842307729772	0.375226167218578
"25"	"Angus Deaton"	-0.174227261280317	-0.861099806643392
"26"	"Daron Acemoglu"	-3.01174309409638	-1.91786553346029
"27"	"Hans-Werner Sinn"	-6.70992884683053	1.92439540592191
"28"	"Michael Woodford"	1.52703144563949	0.392694240995175
"29"	"Lawrence Summers"	-1.46397079147818	0.963602049468534
"30"	"Olivier Blanchard"	-0.365662859056142	0.36828408109764
"31"	"Joseph Stiglitz"	-5.93882494579926	2.30375736246363
"32"	"Martin Feldstein"	-0.495128227603121	1.0789652392331
"33"	"Tim Bollerslev"	4.50108439216913	0.03083477094813
"34"	"Joshua Aizenman"	-2.38846199797635	3.8911221098875
"35"	"Michael McAleer"	2.37985888857493	-0.551981996751074
"36"	"James Stock"	3.85790204083537	-0.577924082789199
"37"	"James Poterba"	-0.509153681152313	0.15754608270368
"38"	"Peter Nijkamp"	-4.50406739680021	-2.10611588320846
"39"	"Robert Lucas"	2.28964986495652	-0.312582101339385
"40"	"Mark Watson"	4.34956032559547	-0.669592281238603
"41"	"Jean Tirole"	-9.28877260754905	-3.72381784743043
"42"	"Alberto Alesina"	-0.640205742780723	-0.531395715089134
"43"	"Luigi Zingales"	-1.46371259412669	-0.0488752131924802
"44"	"Alan Krueger"	-4.14366862155191	-4.74693012286584
"45"	"Mark Gertler"	1.49130513903561	1.55314244194745
"46"	"Peter Phillips"	4.7117497819557	-0.9052178078283
"47"	"Robert Merton"	2.49932286155378	-0.370476887014821
"48"	"Whitney Newey"	4.61080505893351	-1.62915302858295
"49"	"Clement Tisdell"	-3.67245763782203	-2.25130392972916
"50"	"Kenneth Rogoff"	-2.60859271111506	11.3988083610167
"51"	"Jerry Hausman"	1.39093817148975	-2.38561769064494
"52"	"Paul Krugman"	-0.0742695260171126	1.25642228707757
"53"	"Maurice Obstfeld"	-2.20676424551179	8.70394445935855
"54"	"Lars Hansen"	4.16291503071312	-0.48416472333807
"55"	"Ilhan Ozturk"	1.27983961438638	-0.237278956127361
"56"	"James Heckman"	0.0155151428394408	-3.7455913103457
"57"	"Martin Eichenbaum"	2.85058246245381	1.48572005736422
"58"	"David Romer"	1.63855683855239	0.229299412360244
"59"	"Elhanan Helpman"	-0.397384416639699	0.36327883660611
"60"	"Peter Diamond"	1.04489504146836	-0.829710601107449
"61"	"Lars Svensson"	1.55830953545693	1.55185552128737
"62"	"Bruno Frey"	-6.77142633304531	-4.67279325448049
"63"	"George Borjas"	0.415726292528973	-1.9074670749685
"64"	"Robert Gordon"	1.76622982165702	0.585830381124249
"65"	"Carmen Reinhart"	-2.16321690242196	10.6513191108119
"66"	"Jean-Jacques Laffont"	-2.42515539446408	-2.91268131552323
"67"	"M Pesaran"	3.46983633280227	-0.177261443314064
"68"	"Jordi Gali"	2.91262195842543	0.13573748265786
"69"	"Ben Jann"	2.68146351134943	-1.05316756235262
"70"	"Robert Barro"	-0.14985582588686	1.02719376095832
"71"	"Ernst Fehr"	-3.15620600422133	-2.32726320637654
"72"	"Dani Rodrik"	-4.65067950103944	2.26093779366292
"73"	"Ben Bernanke"	1.17225086240237	1.38285227759034
"74"	"Ross Levine"	0.0748768584114368	0.862772900400152
"75"	"Timothy Besley"	-4.70167186224719	-1.38751810977896
"76"	"Thomas Sargent"	1.44970074273929	0.950784326901521
"77"	"Friedrich Schneider"	-4.98498011392103	-2.00783280081858
"78"	"Lawrence Christiano"	3.12777747378945	0.799294816613128
"79"	"Jeffrey Wooldridge"	4.30662862272363	-1.01363596625954
"80"	"John Campbell"	2.1869407418851	0.769891375127673
"81"	"Rafael La Porta"	0.701930828998489	-0.924983617941135
"82"	"N. Gregory Mankiw"	1.08780089237529	0.693622417355804
"83"	"Christopher Baum"	2.87027224688685	0.134756188461912
"84"	"Kenneth French"	2.97597210535916	-0.249906896179867
"85"	"Drew Fudenberg"	-0.398972857016082	-2.01408565442611
"86"	"Francis Diebold"	3.2791456080954	0.196579789410986
"87"	"John Whalley"	-2.92001429639817	0.847773007033344
"88"	"John Taylor"	1.64895205128383	0.953416836935996
"89"	"Stephen J Turnovsky"	0.674818015406477	0.644018775754156
"90"	"Halbert White"	4.36059524408788	-1.55944968144312
"91"	"Nicholas Cox"	2.69993200835058	-1.52227904694637
"92"	"Eugene Fama"	2.87237587147319	-0.313039957512222
"93"	"Edward Glaeser"	-2.21779732226981	-2.28086748175968
"94"	"Robert Shiller"	0.665395796082902	0.963313632690448
"95"	"Edward Prescott"	1.38893938624045	0.130242162877532
"96"	"Asli Demirguc-Kunt"	-1.40405873519496	1.76517095956734
"97"	"Christopher Sims"	2.73766110599178	0.0454619689487214
"98"	"Richard Blundell"	1.69370150190073	-2.1569061820336
"99"	"Alan Auerbach"	-0.51614401047007	1.07021192959413
"100"	"Michael Jensen"	2.1832100305784	-0.367531891759605
